Respondent,attribute,importance
154,Business Model,42.772031141776
154,Location,13.2686772409221
154,Synergy,10.2624002789503
154,Budget,33.6968913383517
155,Business Model,30.3667875524584
155,Location,15.0320953761801
155,Synergy,3.74127046559402
155,Budget,50.8598466057674
156,Business Model,31.8301943924973
156,Location,18.5463237222751
156,Synergy,47.3664446292482
156,Budget,2.25703725597938
158,Business Model,44.7499500948171
158,Location,22.9986918833321
158,Synergy,23.5828349059524
158,Budget,8.66852311589833
159,Business Model,35.2448058693296
159,Location,25.6357874933568
159,Synergy,17.6903997942728
159,Budget,21.4290068430408
160,Business Model,11.8225650661856
160,Location,13.6793289146384
160,Synergy,27.7353985624785
160,Budget,46.7627074566975
161,Business Model,36.5127030701657
161,Location,20.9126993360372
161,Synergy,20.4335742736057
161,Budget,22.1410233201914
163,Business Model,34.7314556197153
163,Location,6.38121621153869
163,Synergy,56.1841606187347
163,Budget,2.70316755001126
165,Business Model,25.7022234784736
165,Location,34.9894303111362
165,Synergy,8.74534868553424
165,Budget,30.562997524856
168,Business Model,41.7139209932736
168,Location,9.85168023468494
168,Synergy,32.3025390929556
168,Budget,16.1318596790859
173,Business Model,71.7445473029451
173,Location,14.031125226713
173,Synergy,10.0443928725546
173,Budget,4.17993459778728
183,Business Model,38.9948126025396
183,Location,11.1375377184559
183,Synergy,20.1221729450068
183,Budget,29.7454767339977
193,Business Model,41.3396141187104
193,Location,32.8432639546195
193,Synergy,13.0484888499962
193,Budget,12.7686330766738
199,Business Model,18.2520420936015
199,Location,8.07147647113144
199,Synergy,50.5381501247671
199,Budget,23.1383313105
202,Business Model,46.6398066013589
202,Location,5.47144540439821
202,Synergy,31.3084716914383
202,Budget,16.5802763028046
204,Business Model,28.7235408676704
204,Location,7.95587969347104
204,Synergy,53.6231790592159
204,Budget,9.69740037964259
206,Business Model,38.2372886339006
206,Location,11.1527981874648
206,Synergy,8.9006011043741
206,Budget,41.7093120742604
209,Business Model,67.8954709391582
209,Location,3.9969529845942
209,Synergy,24.9580987999327
209,Budget,3.14947727631492
211,Business Model,38.4826406040069
211,Location,35.8863698426159
211,Synergy,14.3983940578985
211,Budget,11.2325954954788
212,Business Model,41.9223862550685
212,Location,16.3622971980164
212,Synergy,11.0040833448309
212,Budget,30.7112332020842
213,Business Model,34.9665072772126
213,Location,13.9803020092913
213,Synergy,29.3664281470627
213,Budget,21.6867625664334
214,Business Model,24.7210693041116
214,Location,57.1337061959837
214,Synergy,0.760854572857664
214,Budget,17.384369927047
216,Business Model,22.4259718324405
216,Location,15.1957637145032
216,Synergy,33.0741828613611
216,Budget,29.3040815916952
217,Business Model,22.3947361588692
217,Location,9.29538770849775
217,Synergy,36.8840009866516
